Book name,Author,Publisher,Discounted price,Price without any discount,"Discount, %",Stock availability 
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,533,683,22,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1582,2028,22,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1073,1376,22,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1617,2073,22,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1610,2064,22,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1911,2450,22,На складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1226,1572,22,Ограничено
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус:Бакалавриат,917,1176,22,Ограничено
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,1081,1386,22,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,515,660,22,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,770,987,22,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,3018,3869,22,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,3810,4885,22,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1760,2257,22,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3973,5093,22,На складе
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1319,1691,22,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1710,2192,22,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2649,3396,22,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1810,2321,22,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,2325,2981,22,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,2366,3033,22,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,1053,1350,22,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,2263,2901,22,На складе
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,984,1262,22,Ограничено
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,3018,3869,22,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1810,2321,22,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2995,3840,22,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2904,3723,22,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,2703,3465,22,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,2669,3422,22,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1345,1724,22,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,4024,5159,22,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,2012,2580,22,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1810,2321,22,На складе
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус:Среднее профессиональное образование,1529,1960,22,Ограничено
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,746,956,22,На складе
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус:Среднее профессиональное образование,1389,1781,22,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,2817,3611,22,На складе
Django 3.0. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1316,1687,22,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,1619,2075,22,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,399,665,40,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,2696,3456,22,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,2192,2810,22,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,767,983,22,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3371,4322,22,На складе
Прикладное машинное обучение без учителя с использованием Python,Пател Анкур,Диалектика,2973,3811,22,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4045,5186,22,На складе
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1353,1735,22,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,2012,2580,22,На складе
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,887,1137,22,На складе
PHP и MySQL. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,1018,1305,22,На складе
Программирование для Android,Колисниченко Денис Николаевич,BHV:Самоучитель,661,848,22,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1555,1993,22,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1357,1740,22,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,550,917,40,На складе
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,691,1152,40,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,2012,2580,22,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2415,3096,22,На складе
Английский язык в программировании и информационных системах (СПО). Учебник,Радовель Валентина Александровна,Кнорус:Среднее профессиональное образование,1371,No old price,No discount,На складе
Kotlin. Программирование на примерах,Аделекан Ияну,BHV,1221,1565,22,На складе
HTML и CSS. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,950,1218,22,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1441,1848,22,Ограничено
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,931,1193,22,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2668,3421,22,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,3503,4491,22,На складе
Программируем с PyTorch. Создание приложений глубокого обучения,Пойтнер Ян,Питер:Бестселлеры O`Reilly,1357,1740,22,На складе
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1357,1740,22,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,2012,2580,22,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1810,2321,22,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1810,2321,22,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,2012,2580,22,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1096,1405,22,На складе
Программирование на VBA в Excel 2019. Самоучитель,"Комолова Нина Владимировна, Клименко А. В.",BHV:Самоучитель,846,1085,22,На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1345,1724,22,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2132,2733,22,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2154,2762,22,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,2715,3481,22,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,2012,2580,22,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,2012,2580,22,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,2616,3354,22,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,1129,1448,22,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2022,2592,22,На складе
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2696,3456,22,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,2696,3456,22,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,3018,3869,22,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,2012,2580,22,На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер:Бестселлеры O`Reilly,1800,2308,22,На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,2012,2580,22,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,2414,3095,22,На складе
Программирование на Python. Базовый курс,Седжвик Роберт и др.,Вильямс,2022,2592,22,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,2012,2580,22,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер:Библиотека программиста,818,1049,22,На складе
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1,Фриск Валерий Владимирович и др.,Солон-пресс:Библиотека студента,1208,1549,22,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3824,4903,22,На складе
Terraform. Инфраструктура на уровне кода,Брикман Евгений,Питер:Бестселлеры O`Reilly,1530,1961,22,На складе
Языки программирования и методы трансляции. Учебное пособие,Свердлов Сергей Залманович,Лань:Учебники для вузов. Специальная литература,3020,3872,22,На складе
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань:Учебники для вузов. Специальная литература,526,674,22,На складе
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,2213,2837,22,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2303,2953,22,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер:Head First (O'Reilly),2443,3132,22,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,998,1280,22,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1086,1392,22,Ограничено
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,2011,2578,22,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,662,849,22,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,2790,3577,22,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1080,1384,22,Ограничено
Язык C. Самое необходимое,Прохоренок Николай Анатольевич,BHV:Самое необходимое,887,1137,22,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1101,1412,22,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),740,949,22,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,555,712,22,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,866,1110,22,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3963,5081,22,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1196,1533,22,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1509,1934,22,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3824,4903,22,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,2012,2580,22,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1810,2321,22,На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум,Янсен Стефан,BHV,1628,2087,22,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1345,1724,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1080,1384,22,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4045,5186,22,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4045,5186,22,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3371,4322,22,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1434,1838,22,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,3219,4127,22,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,2012,2580,22,Ограничено
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,2012,2580,22,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1705,2186,22,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1105,1417,22,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1304,1672,22,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1810,2321,22,На складе
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер:Библиотека программиста,1019,1307,22,На складе
C++. Практика многопоточного программирования,Уильямс Энтони,Питер:Для профессионалов,2254,2890,22,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер:Бестселлеры O`Reilly,1685,2160,22,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4045,5186,22,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3371,4322,22,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2414,3095,22,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,712,913,22,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2414,3095,22,На складе
С/С++ Процедурное программирование,Полубенцева М. И.,BHV:Внесерийная,1181,1514,22,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3033,3888,22,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1214,1556,22,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,3030,3885,22,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1256,1610,22,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1525,1955,22,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1348,1728,22,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,2012,2580,22,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,2414,3095,22,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,2012,2580,22,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2629,3370,22,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1518,1946,22,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1810,2321,22,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1810,2321,22,На складе
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов,Микелуччи Умберто,BHV,950,1218,22,На складе
JavaFX,Прохоренок Николай Анатольевич,BHV:В подлиннике,1492,1913,22,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1557,1996,22,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1496,1918,22,На складе
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1610,2064,22,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,4045,5186,22,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1207,1547,22,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1810,2321,22,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,2012,2580,22,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1619,2075,22,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2204,2826,22,На складе
Библия C#,Фленов Михаил Евгеньевич,BHV,860,1102,22,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,988,1267,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2616,3354,22,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,1772,2272,22,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,1226,1572,22,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,963,1235,22,На складе
Знакомство с PyTorch: глубокое обучение при обработке естественного языка,"Макмахан Брайан, Рао Делип",Питер:Бестселлеры O`Reilly,1083,1389,22,На складе
Разработка требований к программному обеспечению,"Вигерс Карл, Битти Джой",BHV,1356,1739,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,611,783,22,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1911,2450,22,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),2088,2677,22,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1923,2465,22,Ограничено
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,346,444,22,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,538,690,22,Ограничено
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,4024,5159,22,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1792,2297,22,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,388,498,22,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,548,703,22,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,255,327,22,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,548,703,22,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,776,995,22,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,342,438,22,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,716,918,22,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,323,414,22,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,2024,2595,22,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,1005,1289,22,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1409,1806,22,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,1815,2327,22,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,3417,4381,22,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2790,3577,22,Ограничено
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1830,2346,22,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,2616,3354,22,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,4024,5159,22,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,907,1163,22,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2629,3370,22,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2154,2762,22,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1473,1889,22,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2326,2982,22,На складе
