Book name,Author,Publisher,Discounted price,Price without any discount,"Discount, %",Stock availability
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,1005,1289,22,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),1638,2100,22,На складе
"Дизайн пользовательского опыта. Как создать продукт, который ждут",Уэлен Джон,"Манн, Иванов и Фербер:Серия O Reilly",1062,1362,22,На складе
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2696,3456,22,На складе
SQL. Сборник рецептов. Решения и методики построения запросов для разработчиков баз данных,"Молинаро Энтони, Грааф Роберт де",BHV,1425,1827,22,На складе
Дружеское знакомство с тестированием программ,Лабун Билл,BHV,860,1102,22,На складе
JavaScript. Дополнительные уроки для начинающих,Дронов Валерий Александрович,BHV:Для Начинающих,887,1137,22,На складе
"Новые возможности Arduino, ESP, Raspberry Pi в проектах IoT",Петин Виктор Александрович,BHV:Электроника,672,861,22,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1012,1297,22,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1810,2321,22,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,1026,1315,22,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,943,1209,22,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1265,1622,22,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1470,1884,22,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1537,1971,22,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1861,2386,22,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,4024,5159,22,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,2012,2580,22,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,792,1015,22,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1705,2186,22,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,3085,3955,22,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,1086,1392,22,Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1861,2386,22,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1705,2186,22,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3824,4903,22,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,2012,2580,22,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,2747,3522,22,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,1772,2272,22,На складе
SQL за 10 минут,Форта Бен,Вильямс,1348,1728,22,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1236,1584,22,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,2244,2877,22,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,3243,4158,22,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,4719,6050,22,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,2817,3611,22,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1973,2530,22,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1583,2029,22,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1796,2303,22,На складе
Java. Решение практических задач,Леонард Анджел,BHV:Учебная литература для ВУЗов,1764,2261,22,На складе
Создание сайтов на Tilda. Самоучитель,Молочков Владимир Петрович,BHV:Самоучитель,791,1014,22,На складе
Основы искусственного интеллекта в примерах на Python,Постолит Анатолий Владимирович,BHV:Самоучитель,991,1271,22,На складе
"Python, Django и PyCharm для начинающих",Постолит Анатолий Владимирович,BHV:Для Начинающих,923,1183,22,На складе
Bootstrap и CSS-препроцессор Sass,Прохоренок Николай Анатольевич,BHV:Самое необходимое,1086,1392,22,На складе
Практическая статистика для специалистов Data Science,Брюс Питер и др.,BHV,1018,1305,22,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,938,1203,22,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,1207,1547,22,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,2012,2580,22,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,802,1028,22,На складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,1994,2557,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2161,2771,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,1751,2245,22,На складе
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер:Бестселлеры O`Reilly,1901,2437,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,2527,3240,22,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,2002,2567,22,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,2012,2580,22,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1810,2321,22,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,1945,2494,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2457,3150,22,На складе
Программная инженерия. Учебное пособие,Маран Микхель Михкелевич,Лань:Учебники для вузов. Специальная литература,2104,2698,22,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,2012,2580,22,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2616,3354,22,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,3018,3869,22,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,3018,3869,22,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,987,1265,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2696,3456,22,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1509,1934,22,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1615,2071,22,Ограничено
Arduino. Большая книга рецептов,Марголис Майкл и др.,BHV,1899,2435,22,На складе
Active Directory глазами хакера,Hacker Ralf,BHV:Глазами Хакера,488,625,22,На складе
Web-сервер глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,686,879,22,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,2805,3596,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,1207,1547,22,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,1005,1289,22,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,3219,4127,22,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,1790,2295,22,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,280,359,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,3018,3869,22,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,2114,2710,22,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1223,1568,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1112,1425,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,4219,5409,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2441,3129,22,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,2326,2982,22,На складе
Программирование.Сборник задач.СПО,"Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань:Компьютеры и программное обеспечение,1437,1842,22,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1009,1293,22,На складе
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,2012,2580,22,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,959,1230,22,На складе
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,2959,3793,22,Ограничено
"Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика",Роббинс Дженнифер Нидерст,BHV,2374,3044,22,На складе
Разработка веб-приложений на WordPress,"Мессенленер Брайан, Коулман Джейсон",BHV,1492,1913,22,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1865,2391,22,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5393,6914,22,На складе
PowerShell для сисадминов,Бертрам Адам,Питер:Для профессионалов,2127,2727,22,На складе
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер:Для профессионалов,1223,1568,22,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,1840,2359,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1510,1936,22,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2616,3354,22,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1610,2064,22,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2210,2833,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2210,2833,22,На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,1343,1722,22,На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля,Умрихин Евгений Дмитриевич,BHV:С нуля,887,1137,22,На складе
Атаки на веб и WordPress,,BHV:Библиотека журнала «Хакер»,661,848,22,На складе
Linux глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,887,1137,22,На складе
Вероятностное программирование,Колбин Вячеслав Викторович,Лань:Математика,2415,3096,22,Ограничено
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1348,1728,22,На складе
Восстановление данных. Практическое руководство,Касперски Крис и др.,BHV,818,1049,22,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2790,3577,22,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1229,1576,22,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,6741,8642,22,На складе
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2022,2592,22,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,3219,4127,22,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1810,2321,22,На складе
C#. Основы программирования (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,2001,2566,22,На складе
